Ticker,SignalDate,EntryDate,EntryPrice,Status,DaysHeld,ExitDate,ExitPrice,ReturnPct,ExitReason,LastBarDate,StopPrice
NAN,,,,nan,0,,,,,,
DLTR,2026-02-12,2026-02-12,128.43,OPEN,12,,,,,2026-02-27,
AVGO,2026-02-09,2026-02-09,343.94,CLOSED,12,2026-02-24,320.333313,-6.863606156,SELL_TRAIL,2026-02-24,
AIG,2026-02-11,2026-02-11,78.44,OPEN,13,,,,,2026-02-27,
NRG,2026-02-13,2026-02-13,172.35,OPEN,11,,,,,2026-02-27,
GRMN,2026-02-13,2026-02-13,214.74,OPEN,11,,,,,2026-02-27,
ETR,2026-02-13,2026-02-13,105.07,OPEN,11,,,,,2026-02-27,
FLS,2026-02-13,2026-02-13,89.69,OPEN,11,,,,,2026-02-27,
NOK,2026-02-23,2026-02-23,7.769999981,OPEN,6,,,,,2026-02-27,
FIVE,2026-02-23,2026-02-23,220.0899963,OPEN,6,,,,,2026-02-27,
AKR,2026-02-24,2026-02-24,20.55999947,OPEN,5,,,,,2026-02-27,
SUPN,2026-02-25,2026-02-25,53.29999924,OPEN,4,,,,,2026-02-27,
UCTT,2026-02-25,2026-02-25,71.95999908,OPEN,4,,,,,2026-02-27,
JAZZ,2026-02-26,2026-02-26,196.8300018,OPEN,3,,,,,2026-02-27,
FLKR,2026-02-26,2026-02-26,48.36999893,OPEN,3,,,,,2026-02-27,
JNJ,2026-02-28,2026-02-28,248.4299927,OPEN,1,,,,,2026-02-27,
REG,2026-02-28,2026-02-28,79.0,OPEN,1,,,,,2026-02-27,
ATO,2026-02-28,2026-02-28,186.7899933,OPEN,1,,,,,2026-02-27,
